Mandal;Habitation_name;Habitation_code;Date;Population;Capacity;Trips;Quantity
Yellanur;Chinthakayamanda;1217126013011600;01.01.2015;1133;5000;3;15
Anantapur (rural);Chiyyedu;1217127002020400;01.03.2012;2676;5000;16;80
Anantapur (rural);Itikalapalle;1217127003020500;16.12.2013;1960;5000;9;60
Anantapur (rural);Kakkalapalli (Rural);1217127003030600;01.05.2014;2625;5000;10;50
Anantapur (rural);N.N.Kunta;1217127003030600;01.08.2014;1656;5000;6;30
Anantapur (rural);Chinnakunta;1217127004030700;21.02.2015;887;5000;4;20
Anantapur (rural);Pulakunta;1217127005040900;21.02.2015;2339;5000;9;45
Anantapur (rural);Rudrampeta;1217127009011300;02.02.2015;17603;5000;15;75
Anantapur (rural);MB Palli;1217127009011300;02.03.2015;364;5000;3;15
Anantapur (rural); N.R.Colony;1217127010011400;02.03.2015;1568;5000;7;45
Anantapur (rural);Papampeta Dwaraka Vilas;1217225010021100;10.04.2015;925;5000;6;30
Anantapur (rural);Kattakindapalli;1217225016022000;01.03.2015;1369;5000;6;30
Anantapur (rural);Ontikonda;1217225016042100;24032014.00;759;5000;3;20
C.K.Palli;Parsannayapeta;1217226001040300;11.08.2014;490;5000;3;20
C.K.Palli;Amidalakunta ;1217226009031000;12.07.2014;400;5000;1.5;10
C.K.Palli;bramhanapalli;1217226014031800;12.10.2014;247;5000;1.5;10
C.K.Palli;Venkatampalli;1217226014031800;02.11.2014;1854;5000;7;40
C.K.Palli;Narsingarayanipalli;1217226014031800;12.01.2015;592;5000;3;20
C.K.Palli;Basinepalli;1217328001010100;17.02.2015;990;5000;3;20
C.K.Palli;Pallenagaripalli;1217328002010200;15.04.2015;405;5000;2;15
C.K.Palli;Chandracherla;1217328002010200;01.04.2015;1472;5000;5;30
C.K.Palli;Nemalivaram;1217328002020300;01.04.2015;650;5000;2;15
Kanaganapalli;Thalimadugula;1217328005010500;05.04.2015;1187;5000;3;15
Kanaganapalli;Balepalem;1217328005010500;10.04.2015;992;5000;3;15
Kanaganapalli;Daduluru;1217328005050600;01.05.2015;711;5000;5;30
Kanaganapalli;C.N.Kota;1217328008011200;06.05.2015;946;5000;3;20
Kanaganapalli;Maddalacheruvu;1217328008011200;10.05.2015;516;5000;2;10
Kanaganapalli;Mamillapalli;1217328008011200;10.05.2015;512;5000;1;15
Kanaganapalli;M.Bandameedapalli;1217328009011300;01.03.2015;3550;5000;8;40
Kanaganapalli;Gangulakunta;1217328009011300;01.03.2015;995;5000;5;25
Rapthadu;Raminepalli;1217328009011300;01.03.2015;634;5000;4;20
Rapthadu;Prasannayapalli;1217328014022000;01.03.2015;6163;5000;20;10
Rapthadu;Chinmaiahnagar;1217328014022000;01.04.2015;3163;5000;14;70
Rapthadu;Prasannayapalli;1217328014032000;01.04.2015;3000;5000;14;70
Ramagiri;M.C.Palli;1217328014042000;01.04.2015;601;5000;2;10
Guntakal;Gundala;1217328014042000;28.02.2015;442;5000;3;15
Guntakal;Manelanepalli;1217328014042000;25.02.2015;468;5000;3;15
Guntakal;Immampuram; 1217328014052100;28.02.2015;1017;5000;4;20
Guntakal;Molakalapenta thanda;1217329002010200;01.01.2014;718;5000;8;40
Guntakal;Puliguttapalli;1217329003010300;18.02.2015;1083;5000;6;30
Guntakal;Puliguttapalli Pedda Thanda;1217329005010500;22.10.2014;1083;5000;3;15
Tadipatri;Venkatareddypalli;1217329005010500;25.04.2014;1646;5000;2;10
Tadipatri;Thimmepalli;1217329005010500;01.03.2015;799;5000;3;15
Peddapappuru;c.chikkepalli;1217329008010800;24.04.2013;1071;5000;5;25
Peddapappuru;Somanapalli;1217329008010800;01.07.2014;966;5000;2;10
Peddapappuru;Namanakapalli;1217329008010800;01.03.2015;591;5000;4;20
Peddapappuru;Narasapuram;1217329009010900;19.09.2014;2144;5000;4;20
Yadiki;pacharumekalapalli;1217329010011000;25.06.2013;813;5000;3;15
Yadiki;Yadiki;1217329010011000;20.08.2014;4500;5000;8;40
Yadiki;Chandana;1217329011021000;6.1.2015;2260;5000;3;15
Yadiki;Chintalayapalli;1217329011021000;27.2.2015;945;5000;3;15
Peddavaduguru;Medimakulapalli;1217329011021000;31.03.2015;1107;5000;4;20
Peddavaduguru;Ravuludiki;1217329011021000;;;5000;;0
Vajrakarur;J.Rampuram;1217329012031200;01.03.2014;715;5000;;0
Vidapanakal;R.Kottala;1217329012031200;01.05.2015;884;5000;4;22
Tanakal;Kondannagari palli & SC Colony;1217329012031200;31/07/2014;1682;3000;14;48.00
Tanakal;Enugu Gundu Thanda, Nadimi Thanda & Gutta Meeda Thanda H/o Kota palli;1217329013011300;19/08/2014;623;3000;4;12.00
Tanakal;P.R.Thanda H/o Mundlavari palli;1217329016031600;01/09/2014;94;3000;2;6.00
Tanakal;Thammisettyvari palli;1217329017021700;01/10/2014;380;3000;4;12.00
Tanakal;Nallagutla palli;1217329017021700;06/10/2014;726;5000;5;20.00
Tanakal;Moralla palli;1217329017021700;08/10/2014;740;5000;4;12.00
Tanakal;T.Sadum;1217329018011800;09/10/2014;810;5000;4;20.00
Tanakal;Ethodu H.W.;1217330001050200;03/11/2014;735;3000;5;15.00
Tanakal;Vanka palli & H.W. H/o Tanakal;1217330003010500;25/12/2014;1013;3000;8;40.00
Tanakal;Kotha  kuruva palli H/o Mallireddy palli;1217330006030800;08/01/2015;590;3000;4;12.00
Tanakal;Kamatham palli H/o G.N.Thanda;1217330012021400;04/02/2015;208;3000;2;6.00
Tanakal;Tanakal Town (Part);1217331009030900;19/02/2015;2356;3000;10;12.00
Tanakal;Ethodu;1217331011031200;21/02/2015;822;3000;6;35.00
Tanakal;Balasamudram H.W.;1217337004080600;21/02/2015;290;3000;2;18.00
Tanakal;Mareppagari palli;1217337010031600;21/02/2015;761;3000;6;15.00
Tanakal;Nandigani palli & Beri palli H/o T.Sadum;123900707;24/02/2014;900;3000;5;15.00
Tanakal;Pedda kadapala vari palli & Dudekula Colony (Kunta Marava palli);123900707;07/04/2015;482;3000;5;25.00
Tanakal;Bonthala palli & H.W.;123900707;11/03/2015;1623;5000;10;50.00
Tanakal;Mabbuvari palli H/o D.T.palli;12161430020302;11/03/2015;281;5000;3;15.00
Tanakal;C.G.Project;12161430050905;29/04/2015;96;5000;2;10.00
Tanakal;Gangasanivari palli H/o Tavalam;1216337011011700 ;05/05/2015;240;5000;3;15.00
Tanakal;Thirumalaiahgari palli H/o Korthikota;1216337011021700 ;05/05/2015;121;5000;2;10.00
Tanakal;Gurram bylu H/o Mallireddy palli;1216337011021700 ;11/05/2015;174;5000;1;5.00
Tanakal;Adireddy palli H/o Mallireddy palli;1216337011031700 ;11/05/2015;57;5000;1;5.00
Tanakal;Tanakal Town (PartII)[Budidi Gadda Bazar, SBI Street, Main Road & R.S.Road];1216559019012000;16/05/2015;2356;5000;10;50.00
Nallacheruvu;Gorlavandla palli;1216637009021400 ;01.04.2014;534;3000;3;15.00
Nallacheruvu;Neelivandla palli;1217111001030200;13/01/2015;383;3000;4;12.00
Nallacheruvu;Gorantlavari palli H/o Ubicherla;1217111004010500;21/05/2015;470;5000;3;15.00
Gandlapenta;T.Pedda Thanda H/o Thummala bylu;1217111014011100;25/08/2014;766;5000;5;25.00
Gandlapenta;Kataru palli;1217111014011100;15/10/2014;1348;5000;6;30.00
Gandlapenta;K.Golla palli & Madiga palli H/o Kataru palli;1217111014011100;15/10/2014;1183;5000;5;20.00
Gandlapenta;Kotla palli H/o Gandlapenta;1217111014011100;01/11/2014;382;3000;2;6.00
Gandlapenta;Jeenulakunta & Valasavandla palli;1217113016041800;11/11/2014;882;3000;7;21.00
Gandlapenta;Pothavandla palli H/o Gandlapenta;1217126013011600;10/12/2014;558;5000;3;15.00
Gandlapenta;Kota palli (Koturu) H/o Malameeda palli;1217127012041700;28/12/2014;823;5000;5;25.00
Gandlapenta;Yerragodula palli H/o Godduvelagala;1217328001010100;01/02/2015;260;3000;4;6.00
Gandlapenta;Thoo palli;1217328001020100;23/02/2015;769;3000;4;15.00
Gandlapenta;Kurumamidi H.W.Kotha palli & Sugali Thanda;1217328001020100;01/04/2015;241;3000;2;20.00
Gandlapenta;Pacharu mekala Thanda;1217328001020100;01/04/2015;365;5000;2;10.00
Talupula;Diguva Madiga palli & Eguva Mala palli H/o Bandla palli;1217328002010200 ;12/08/2014;199;5000;4;5.00
Talupula;Nagappagari palli;1217328003010400 ;12/08/2014;164;5000;2;5.00
Talupula;Eguva Madiga palli H/o Bandla palli;1217328005030600 ;25/08/2014;144;5000;2;5.00
Talupula;Yerrasanivari palli H/o Talupula;1217328005030600 ;12/08/2014;253;5000;3;5.00
Talupula;Thoo palli H/o Talupula;1217328005030600 ;12/08/2014;389;5000;2;10.00
Talupula;Gunduvari palli;1217328005070700;12/08/2014;179;5000;7;10.00
Talupula;G.Mamillavari palli H/o Gunduvari palli;1217328007041100 ;12/08/2014;220;5000;3;10.00
Talupula;Nuthana Kaluva Quarters;1217328007041100 ;25/08/2014;160;5000;4;10.00
Talupula;Talupula Main Bazar;1217328007041100 ;25/08/2014;194;5000;5;5.00
Talupula;Talupula Gandhi Bazar;1217328007041100 ;01/10/2014;198;5000;5;15.00
Talupula;Talupula Eguva peta;1217328010011500 ;12/08/2014;753;5000;5;15.00
Talupula;Nangivandla palli H/o Talupula;1217328010011500 ;25/08/2014;753;5000;3;15.00
Talupula;Nuthana Kaluva;1217328010011500 ;25/08/2014;753;5000;5;15.00
Talupula;Yerri palli & Poolavandla palli H/o Gunduvari palli;1217328017232400 ;02/02/2015;557;5000;3;10.00
Talupula;Bandla palli;1217329004010400 ;02/02/2015;244;3000;3;6.00
Talupula;O.B.R.Kotha palli;1217329006010600;01/03/2015;91;5000;5;5.00
Talupula;Pennabadivandla palli;1217329006010600;13/02/2015;380;3000;2;9.00
Talupula;Chinnannavari palli H.W.H/o Peddannavari palli;1217329006010600;13/02/2015;309;3000;3;6.00
Talupula;Singana palli H/o Vepamani peta;1217329006010600;01/03/2015;1068;5000;4;20.00
Talupula;Bandla palli B.C.Colony;1217329006020600;01/03/2015;194;5000;2;5.00
Talupula;Pallavandla palli H/o Bandla palli;1217329017011700;16/03/2015;473;5000;4;20.00
Talupula;Thoo palli H.W.H/o Talupula;1217329018011800;19/03/2015;419;5000;2;25.00
Talupula;Diguva mala palli H/o Bandla palli;1217329018021900 ;24/03/2015;50;5000;2;10.00
Talupula;Thurakavandla palli H/o Polathalavandla palli;1217329018021900 ;10/04/2015;546;5000;4;20.00
Talupula;Nayanivari palli H/o Polathalavandla palli;1217329018021900 ;10/04/2015;340;5000;3;15.00
Talupula;OBR Thanda;1217331008050800 ;01/05/2015;419;5000;5;25.00
Talupula;Devara palli & D.Madiga palli;1217331011041200 ;14/05/2015;236;5000;4;20.00
N.P.Kunta;Dhaniyanicheruvu  H/o Dhaniyani cheruvu;1217331011051200 ;14/09/2014;750;5000;6;30
N.P.Kunta;Mundlavari palli H/o D.N.Cheruvu;1217337004050600 ;14/09/2014;413;5000;4;20
N.P.Kunta;D.Kotha palli H/o D.N.Cheruvu;1217337004050600 ;13/11/2014;664;5000;2;10
N.P.Kunta;Kottam vari palli H/o D.N.Cheruvu;1217337004060600 ;16/02/2015;43;5000;1;5
N.P.Kunta;Eguva palli H/o D.N.Cheruvu;1217337010011500 ;14/09/2014;202;5000;2;10
N.P.Kunta;Kummaravandla palli  & Mala palli H/o D.N.Cheruvu;1217337010011500 ;14/09/2014;149;5000;1;5
N.P.Kunta;Velichalamala & Harijana wada & MPUP School;1217337010011500 ;24/10/2014;800;5000;6;30
N.P.Kunta;Arava vandla palli, Mala palli;1217337010021500 ;22/01/2015;637;3000;3;25
N.P.Kunta;Ulinjalavandla palli & Gowducheruvuvandla palli;1217337010021500 ;31/03/2015;186;3000;3;15
N.P.Kunta;Edurudona, E.Madiga palli & E.Kotha palli;1217337010031600 ;13/02/2015;790;5000;7;35
N.P.Kunta;Malakavari palli H/o Edurudona;1217337010041600 ;13/02/2015;142;5000;2;15
N.P.Kunta;Diguva Thoo palli H/o P.Kotha palli;1217337010041600 ;02/03/2015;1018;5000;4;20
N.P.Kunta;Eguva Thoo palli H.W.H/o P.Kotha palli;1217337010041600 ;02/03/2015;638;5000;2;10
N.P.Kunta;Vaddi palli, Srirama puram H/o W.Nadimi palli;124000101;16/03/2015;473;5000;7;30
Kadiri;Veerachinnaiahgari palli Colony & Kummarolla palli H/o K.Brahmana palli;124000101;07/10/2014;266;3000;2;s
Amadagur;Kassamudram (Main village) & H.W.;124000207;01/10/2013;843;3000;7;20
Amadagur;Cherlo palli;124000601;01/10/2013;302;3000;2;7.25
Amadagur;Kanchanagari palli;124000601;01/10/2013;388;3000;3;9.00
Amadagur;Kokkantivari palli;124000602;01/10/2013;142;3000;1;3.41
Amadagur;Niluvurathi palli;124000605;20/11/2013;658;3000;5;15.79
Amadagur;Kancharavandlapalli;124000607;01/10/2013;521;3000;4;12.50
Amadagur;Karimi reddy palli;124000808;01/10/2013;98;3000;1;3.00
Amadagur;Amadagur Balance part;124001001;01/11/2013;975;3000;5;15.00
Amadagur;Talamarlavandla palli;124001012;01/10/2013;189;3000;2;4.54
Amadagur;Kottuvari palli;124001303;15/09/2013;774;3000;5;15.00
Amadagur;Vaddi palli;124001305;01/09/2013;232;3000;2;5.57
Amadagur;Jowkala;124100301;01/09/2013;931;3000;6;18.00
Amadagur;Sangeetham palli & HW;124100301;01/09/2013;210;3000;1;3.00
Amadagur;Tholla palli;124100301;01/11/2013;87;3000;1;3.00
Amadagur;Malakavari palli RDT Colony;124100308;21/03/2014;125;3000;1;3.00
Amadagur;Cheekirevula palli;124100906;21/02/2014;504;3000;4;12.10
Amadagur;Amadagur  part of village;124101002;12/03/2014;975;3000;3;9.00
Amadagur;Solukuntla;124101004;20/03/2014;250;3000;2;6.00
Amadagur;Mamidimakula palli;124101109;25/03/2014;244;3000;2;5.86
Amadagur;Mohammadabad H.W.;124101111;04/04/2014;566;3000;4;12.00
Amadagur;Kandukurivandla palli  & HW;124101130;04/04/2014;1097;3000;8;24.00
Amadagur;J.K.palli (Main Village); H.W.& RDT Colony;124101135;04/04/2014;1050;3000;7;21.00
Amadagur;B.Kotha palli;124101201;01/07/2014;176;3000;2;6.00
Amadagur;Kotha peta H/o Thummala;124101202;15/09/2014;463;3000;2;6.00
Amadagur;Dudara gutta;124101304;11/08/2014;207;3000;2;6.00
Amadagur;Puttagosula palli (Haripuram);124101402;11/08/2014;384;3000;2;6.00
Amadagur;Thummala;124101603;10/09/2014;573;3000;2;6.00
Amadagur;Balappagari palli;124101703;09/10/2014;294;5000;2;10.00
Amadagur;Sanevari palli;124101801;27/10/2014;135;5000;1;5.00
Amadagur;Golla palli;124101802;28/10/2014;575;5000;4;20.00
Amadagur;Etigadda Thanda;124101901;05/01/2015;83;3000;1;1.99
Amadagur;Guvulapalli;124200802;;375;3000;3;9.00
Amadagur;Gangireddy palli;124401509;;271;3000;2;6.50
O.D.Cheruvu;Thippe palli &  H.W.Thippe palli Thanda;124500205;01/09/2014;749;5000;11;55.00
O.D.Cheruvu;O.D.Cheruvu Town;124500302;03/10/2013;4460;5000;14;70.00
O.D.Cheruvu;T.Kuntla palli;124500303;01/08/2014;1303;5000;10;50.00
O.D.Cheruvu;Thangedukunta & HW & BC Colony;124500308;15/09/2013;922;3000;12;60.00
O.D.Cheruvu;Marevandla palli;124500309;21/09/2013;398;5000;4;20.00
O.D.Cheruvu;A.Yarra balli;124500401;25/09/2013;301;3000;4;20.00
O.D.Cheruvu;M.B.Cross;124500402;13/10/2013;646;3000;5;15.00
O.D.Cheruvu;Vanchireddy palli & BC Col;124500403;01/10/2013;530;3000;4;12.00
O.D.Cheruvu;Mallimallolla palli;124500404;15/09/2013;395;3000;4;12.00
O.D.Cheruvu;Mamillakuntla palli;124500504;01/01/2014;927;5000;8;40.00
O.D.Cheruvu;Uggireddy palli & S.C.Colony;124500506;15/01/2014;557;3000;4;12.00
O.D.Cheruvu;Nallagutla palli;124500509;16/02/2014;756;3000;6;12.00
O.D.Cheruvu;Chowdam palli;124500601;01/03/2014;635;5000;5;25.00
O.D.Cheruvu;Bhogani palli;124500601;05/03/2014;179;3000;2;6.00
O.D.Cheruvu;Mallemvandla palli;124500608;05/03/2014;58;3000;1;3.00
O.D.Cheruvu;Jerrikunta palli;124501101;01/04/2014;472;3000;6;18.00
O.D.Cheruvu;Malla palli;124501303;24/07/2014;711;3000;5;15.00
O.D.Cheruvu;Bommireddy cheruvu;124501505;09/08/2014;88;3000;1;3.00
O.D.Cheruvu;Lingalavari palli H/o Alla palli;124600207;14/09/2014;534;5000;6;30.00
O.D.Cheruvu;Akuthota palli;124600311;19/09/2014;778;5000;7;35.00
O.D.Cheruvu;Polevandla kotha palli & Bodigundla palli;124600402;06/10/2014;465;5000;4;20.00
O.D.Cheruvu;Balappagaripalli H/o Alla palli;124600501;04/08/2014;223;3000;2;6.00
O.D.Cheruvu;Chalalvandla palli H/o Alla palli;124600501;04/08/2014;410;3000;3;9.00
O.D.Cheruvu;Mitta palli H/o Mitta palli;124600501;24/12/2014;1056;3000;7;25.00
O.D.Cheruvu;Diguva palli H/o Daburuvari palli;124600702;13/01/2015;710;5000;4;20.00
O.D.Cheruvu;Gowra puram;124600712;01/02/2015;703;5000;4;20.00
O.D.Cheruvu;Narappagari palli & H.W.H/o Venkatapuram;124600801;01/02/2015;322;3000;2;6.00
O.D.Cheruvu;Malakavaripalli;124601005;07/03/2015;764;5000;7;35.00
Nallamada;Donnikota BC & SC Colonies (2126 / 2);124601103;24/02/2015;1063;3000;4;12.00
Nallamada;Donnikota Main village ;124601104;01/04/2015;1063;5000;7;35.00
Nallamada;Appaiahgari palli;124601301;31/07/2014;211;5000;2;10.00
Nallamada;Boggula palli Colony;124601309;22/07/2014;484;5000;5;25.00
Nallamada;Nallamada (PI);124700101;25/09/2014;4430;5000;3;15.00
Nallamada;N.Enumulavari palli H/o P.B.palli;124700104;12/10/2014;643;3000;7;21.00
Nallamada;Tholetivari palli H/o P.B.Palli;124700310;01/11/2014;222;3000;2;6.00
Nallamada;Pullagurla palli & Basireddy palli H/o P.B.Palli;124700316;01/11/2014;206;5000;2;10.00
Nallamada;Somagutta palli H/o Nallamada;124700318;03/11/2014;272;5000;2;10.00
Nallamada;Basamvari palli (Part of the village) H/o Nallamada;124700503;03/11/2014;585;5000;3;15.00
Nallamada;Gopepalli main village &S.Ccolony;124700507;21/02/2015;1090;5000;5;25.00
Nallamada;Nallamada S.C Colony;124700515;01/04/2015;443;5000;3;15.00
Nallamada;Nallamada (Rama Swamy Temple & Maruthi Colony);124700517;22/03/2015;4430;5000;2;10.00
Nallamada;Kutala palli H/o Nallamada;124700801;31/03/2015;686;5000;6;30.00
Nallamada;Nallamada (PII);12470103;01/04/2015;4430;5000;5;25.00
Nallamada;Boggitivari palli;12470104;07/04/2015;282;5000;3;15.00
Nallamada;Yerracheruvu palli;;07/04/2015;151;5000;2;10.00
Nallamada;Kondakinda Thanda;1216247001040100;10/04/2015;131;5000;4;20.00
Nallamada;Vellamaddi SC Colony;;10/04/2015;115;5000;1;5.00
Nallamada;Pemana kunta palli Thanda;1216247005140700;01/05/2015;596;5000;3;15.00
Nallamada;Nallamada (Akkamma gari Temple & BSNL Tower Area);;21/05/2015;4430;5000;2;10.00
Nallamada;Yeddulavari palli;;21/05/2015;258;5000;1;5.00
MADAKASIRA;ONTIPALYAM;1216559015021600;25032015;223;5000;1;5.00
MADAKASIRA;C.KODIGEPALLE;1216559019012000;30032015;1025;5000;3;15.00
AGALI;AGALI;;07042015;4007;5000;4;20.00
ROLLA;KOTHAPALYAM;1216563003150300;02.03.2015;337;5000;2;10.00
ROLLA;K.P THANDA;;02.03.2015;149;5000;1;5.00
ROLLA;BAJJARIAHPALEM;;02.03.2015;455;5000;2;10.00
ROLLA;VANNARANAHALLI;1216563003060300;3.03.2015;786;5000;2;10.00
ROLLA;RATHANAGIRI GOLLAHATTI;;13.03.2015;720;5000;3;15.00
ROLLA;UJJAINIPURAM;;30.3.2015;161;5000;1;5.00
Chilamathur;Kothasamulapalli;;02/04/2015;401;5000;4;20
Chilamathur;S.Kothapalli;1216355005060400;01/05/2015;293;5000;2;20
Chilamathur;Roddamvaripalli;;01/05/2015;292;5000;2;20
Somandepalli;Velidadakala;1216654019011500;23.12.2014;405;5000;2;10.00
Parigi;Vittapalli;;22.04.2015;1414;5000;4;15
Parigi;Bandarlapalli;;05.04.2015;42;5000;1;5
Parigi;Ganapathipalli;;27.04.2015;820;5000;3;5
Gorantla;Thatimekalapalli;;12.10.2014;472;5000;2;10.00
Gorantla;Nallanapalli;;01.12.2014;351;5000;1;5.00
Gorantla;Seenappalli;;05.05.2015;496;5000;2;10
Kld;Polavoi;;13.04.2015;2960;5;4;20
Kambadur;Y.C.Palli;1216734003020500;1102014;1230;5;4;20
Gummagatta;Konapuram;;05.05.2015;1187;5;4;20.00
Gummagatta;Thallakera (S.C Colony);;12042015;988;5;8;40.00
Gummagatta;Y.Gundlapalli;;07.04.2015;371;5;3;15.00
Gummagatta;Pulakunta;;07.04.2015;2693;4;2;20
Dharmavaram;R.Yerraguntapalli;;17072011;636;4;7;28
Dharmavaram;Obulanayanipalli;;11072012;1809;5;5;25
Dharmavaram;Nelakota Thanda;;27022014;914;5;5;25
Dharmavaram;Nadimigaddapalli;;3032014;815;5;5;25
Dharmavaram;BALIJAMADI THANDA, EAST THANDA & SC COLONY H/o NADIMIGADDAPALLI;;01.05.2015;815;5;5;25
Dharmavaram;Darsinamala;;22.04.2014;1324;5;8;40
Dharmavaram;Venkatahitmmapuram;;22.04.2014;1002;5;7;35
Dharmavaram;Malagundlapalli;;27.05.2014;614;5;4;20
Dharmavaram;R.C.Thanda {Ravula Cheruvu Thanda};;14.07.2014;370;5;2;10
Dharmavaram;Billubommaiahpalli;;1772014;1189;5;4;20
Dharmavaram;Nelakota;;22102014;886;5;4;20
Dharmavaram;Elakuntla;;9.5.15;1174;5;7;35
Dharmavaram;C.Bathalapalli;;12012015;519;5;5;25
Bathalapalli;Muddanapalli;;1012014;1303;5;4;20
Bathalapalli;Katamkunta;;13092014;471;5;4;20
Bathalapalli;Ramapuram;;18.10.2014;1267;5;10;50
Bathalapalli;Gariselapalli;;19.12.2014;667;5;5;25
Bathalapalli;Kodekandla;;06.01.2015;730;5;5;25
Bathalapalli;Jalalapuram;;05.10.2014;522;5;5;25
Bathalapalli;Church Colony to Indiramma Colony h/o Bathalapalli Village;;20.04.2015;2879;5;13;75
Tadimarri;Marrimakulapalli;;03.01.2015;1815;5;8;40
Tadimarri;Ekapadampalli;;02.05.2015;980;5;5;25
Mudigubba;Guddampalli Thanda;;10.02.2015;988;5;5;25
Mudigubba;Nakkalapalli;;18.03.2015;262;5;3;15
Mudigubba;Adavi Brahmanapalli;;18.03.2015;176;5;5;25
Mudigubba;Adavi Brahmanapalli Harijanawada;;18.03.2015;73;5;1;5
Mudigubba;Guttakindapalli;;18.03.2015;340;5;4;20
Mudigubba;Diguvapalli;;18.03.2015;264;5;4;20
Mudigubba;Irikireddypalli;;18.03.2015;570;5;5;25
Mudigubba;Sirigaripalli S.T.Colony;;18.03.2015;63;5;1;5
Mudigubba;Sankepalli;;19.03.2015;1368;5;8;40
Mudigubba;Mukthapuram;;19.03.2015;270;5;2;10
Mudigubba;Mukthapuram Thanda;;19.03.2015;313;5;2;10
Mudigubba;Nallcherlopalli SC & ST Colony;;19.03.2015;342;5;2;10
Mudigubba;Raghavampalli;;08.03.2015;555;5;4;20
Mudigubba;Yerraguntapalli Colony H/o Mudigubba;;08.03.2015;;5;1;5
Mudigubba;Nayibrahmana Colony H/o Mudigubba;;08.03.2015;;5;4;20
Mudigubba;Chelimibhavi Colony H/o Mudigubba;;08.03.2015;;5;4;20
Mudigubba;Tower Street H/o Mudigubba;;08.03.2015;;5;4;20
Mudigubba;Dorigallu Road back side H/o Mudigubba;;08.03.2015;;5;4;20
