Pulaparru;Pulaparru;0608747006010500;06.01.2016;952;20.00;0.50;10.00
Chintapadu;Chintapadu;0608747004010400;07.01.2016;807;20.00;0.50;10.00
Kovvadalanka;Kovvadalanka;0608747003010300;09.01.2016;782;20.00;0.50;10.00
Nutchumilli;Nutchumilli;0608747008010601;23.01.2016;811;20.00;0.50;10.00
Nagannacheruvu;Nagannacheruvu;0608745003050700;02.02.2016;1560;20.00;1.00;24.00
Achiyyavaripalem;Achiyyavaripalem;0608844022021700;02.02.2016;2214;20.00;1.50;30.00
Manugunuru;Manugunuru;0608747002010200;18.02.2016;776;20.00;0.50;10.00
Thakkellapadu;Thakkellapadu;0608747011010900;18.02.2016;820;20.00;0.50;10.00
Balliparru;Balliparru;0608844030012000;27.02.2016;1605;20.00;1.50;30.00
Kallapalem;Kallapalem;0608749001010100;3.03.2016;1873;20.00;1.00;20.00
Kalavapudi Agraharam;Kalavapudi Agraharam;0608642019011500;16.3.2016;1025;20.00;1.00;20.00
Matlam;Matlam;0608850004010400;23.03.2016;3686;20.00;3.00;60.00
Nidamarru;Nidamarru;0608850013011400;23.03.2016;4523;4.00;15.00;60.00
Parnasa;Parnasa;0608642008020800;31.3.2016;785;20.00;0.50;10.00
Lakshmipuram;Lakshmipuram;0608850005010500;31.03.2016;2758;20.00;2.00;40.00
L.Pallepalem;L.Pallepalem;0608850005020600;02.04.2016;1974;20.00;1.00;20.00
Konkepudi;Konkepudi;0608844026012100;14.04.2016;2551;20.00;2.00;40.00
Chodavaram ;Chodavaram ;0609135004010500;13.04.2016;712;4.00;2.00;8.00
Gullalamoda;Gullalamoda;0609135010041900;19.04.2016;1549;20.00;2.00;40.00
Pedakammavaripalem ;Pedakammavaripalem ;0609135010021800;20.04.2016;725;20.00;1.00;20.00
Doddipatla;Doddipatla;0608748013011500;21.04.2016;809;20.00;0.50;10.00
Seethanapalli;Seethanapalli;0608748014011600;21.04.2016;964;20.00;0.50;10.00
Vemavarappadu;Vemavarappadu;0608748023012500;20.04.2016;910;20.00;0.50;10.00
Pallewada;Pallewada;0608748006010600;20.04.2016;860;20.00;0.50;10.00
Bhaskararaopeta;Bhaskararaopeta;0608749014122300;21.04.216;1546;20.00;1.00;20.00
Pothumarru;Dumpalakodudibba;0608749004050500;20.04.2016;435;20.00;0.50;10.00
Tadinada;Sunnampudi;0608749003020300;21.04.2016;835;20.00;0.50;10.00
Chinapalaparru;Chinapalaparru;0608646015011400;21.04.2016;912;20.00;0.50;10.00
Muduthallapadu;Muduthallapadu;0608747018011600;22.04.2016;977;20.00;0.50;10.00
Mattagunta;Mattagunta;0608749013012000;22.04.2016;1926;20.00;1.00;20.00
Gonepadu;Gonepadu;0608748003010300;22.04.2016;988;20.00;0.50;10.00
Varahapatnam;Varahapatnam;060874801601180;22.04.2016;854;20.00;0.50;10.00
Rachapatnam;Rachapatnam;0608748017011900;22.04.2016;920;20.00;0.50;10.00
Korukollu;Chaitanayapuram;0608749007081000;23.04.2016;508;20.00;0.50;10.00
Parrachivara;Isukarevumalapalli;0609135009051600;22.04.2016;287;4.00;1.00;4.00
Ganapeswaram;Ganapeswaram ;0609135008011400;22.04.2016;280;4.00;1.00;4.00
Parrachivara;Pedagowdapalem ;0609135009021600;25.04.2016;250;4.00;0.50;2.00
Edurumondi ;Jinkapalem ;0619535011012000;25.04.2016;357;4.00;1.00;4.00
Gopavaram;Gopavaram;0608748018012000;25.04.2016;930;20.00;0.50;10.00
Singanapudi;Singanapudi;0608647017011500;23.04.2016;982;20.00;0.50;10.00
Pothumarru;Pothumarru;0608749004050500;25.04.2016;1105;20.00;1.00;20.00
Mulalanka;Mulalanka;0608749014062200;25.04.2016;2522;20 & 4;5.00;36.00
Parrachivara;Parrachivara;0609135009011600;24.04.2016;200;4.00;0.50;2.00
Venkatapuram;Venkatapuram;0608749005010700;24.04.2016;1584;20.00;1.00;20.00
Edurumondi ;Gollamanda;0609135011042000;25.04.2016;394;4.00;1.00;4.00
Talagadadeevi ;Talagadadeevi ;0609135006011000;26.04.2016;984;20.00;0.50;10.00
Unikili;Unikili;0608647016031400;27.04.2016;971;20.00;0.50;10.00
Kottada;Kottada;0608748009011200;27.04.2016;1863;20.00;1.00;20.00
Unikili;Subbaraopeta;0608647016031400;28.04.2016;452;10.00;0.50;5.00
Unikili;Mulapeta;0608647016021400;28.04.2016;454;10.00;0.50;5.00
Chintalpudi;Chintalpudi;0608647028012700;4.04.2016;231;4.00;1.00;4.00
Chintalpudi;Lellapudi;0608647031012700;4.04.2016;342;4.00;2.00;8.00
Sangameswaram;Sangameswaram;0609135007021200;28.04.2016;918;20.00;1.00;20.00
Sorlagondi;Sorlagondi;0609135008041500;28.04.2016;1822;20.00;2.00;40.00
Majeru;Patha majeru Majeru;0609032012011200;28.04.2016;763;4.00;2.00;8.00
Ramakrishnapuram ;Ramakrishnapuram ;0609136009011300;30.04.2016;821;20.00;0.50;10.00
Ramakrishnapuram ;Irali;0609136009021300;30.04.2016;520;20.00;0.50;10.00
Chinatadinada;Chinatadinada;0608749003040400;02.05.2016;1961;20.00;1.00;20.00
Ramakrishnapuram ;Utagundam ;0609136009051300;01.05.2016;817;20.00;0.50;10.00
Sangameswaram;Pathaupakali;0609135007051200;01.05.2016;1450;20.00;1.00;20.00
Dondapadu;Dondapadu SCL;0608642004010301;03.5.2016;580;4.00;2.00;8.00
Rudrapaka;Gopalapuram;0608641021032100;27.4.2016;459;10.00;0.50;5.00
Rudrapaka;Gajulapadu;0608641021022100;28.4.2016;255;4.00;0.50;2.00
Nali;Nali;0609135007061300;02.05.2016;858;20.00;0.50;10.00
Edurumondi ;Brammaiahgarimula;0619535011072000;03.05.2016;200;4.00;1.00;4.00
SRP Agraharam/Padamatipalem;Anjanapuram;;05.05.2016;258;4.00;1.00;4.00
Kaikaluru;Kaikaluru;0608748001010100;07.05.2016;18483;20.00;45.00;260.00
Kaikaluru;Danagudem;0608748001020100;07.05.2016;533;20.00;1.00;20.00
Narasayapalem;Narasayapalem;0608748006020700;07.05.2016;451;20.00;0.50;10.00
China gollapalem;Yetimondipallepalem;0608850015031500;09.05.2016;677;4.00;2.00;8.00
Komallapudi;Komallapudi ;0608850003010300;19.04.2016;1917;20.00;1.00;20.00
Anamanapudi;Anamanapudi;0608641022012200;27.4.2016;862;10.00;1.00;10.00
Kammanamolu;Kammanamolu;0609135007011100;08.05.2016;1058;20.00;1.00;20.00
Etimoga;Etimoga;0609135010011700;08.05.2016;1644;20.00;1.50;30.00
Ramakrishnapuram ;Basavavanipalem;0609136009041300;09.05.2016;300;10.00;0.50;5.00
Chevuru;Chevuru;060 8646021012800;21.04.2016;653;4.00;2.00;8.00
Singarayapalem;Singarayapalem;060 8646020011000;23.04.2016;733;4.00;2.00;8.00
Pedagonnuru;Pedagonnuru;060 8646021011900;25.04.2016;910;4.00;3.00;12.00
Komarru;Komarru;060 8646011011100;26.04.2016;640;4.00;2.00;8.00
Korraguntapalem;Seetharamapuram;060 8646009030900;28.04.2016;323;4.00;1.00;4.00
Edepalli;Edepalli;060 8646022012000;28.04.2016;323;4.00;1.00;4.00
Kuchikayalapudi;Kuchikayalapudi;0608643001030300;28.04.2016;567;4.00;2.00;8.00
Pasalapudi;Pasalapudi;0608647030012900;12.05.2016;599;4.00;2.00;8.00
Mallayapalem;Mallayapalem;0608542010020900;12.05.2016;3176;4.00;12.00;48.00
Kaikaluru;Gummallapadu;0608748008061100;14.05.2016;1453;20.00;0.50;10.00
Pedapalaparru;Pedapalaparru;0608646016011500;16.05.2016;2498;4.00;5.00;20.00
Ramavaram;Ramavaram;0608748013011500;03.05.2016;1532;20.00;0.50;10.00
Santhoshapuram;Santhoshapuram;0608749010131700;12.05.2016;2003;20.00;0.50;10.00
Kotecherla;Kotecherla;0608749008011100;15.05.2016;1231;20.00;0.50;10.00
Kruthivennu;Etimondipallipalem;0608850015031500;01.04.2014;804;4.00;2.00;8.00
